trial_id,seed,tc,sigma_px,dropout_prob,camera_mode,dv_perfect_mag,dv_ekf_mag,dv_delta_mag,dv_mag_bias,dv_inflation_pct,miss_uncorrected,miss_perfect,miss_ekf,pos_err_tc,tracePpos_tc,nis_mean,nees_mean,valid_rate,dx0_norm_r,dx0_norm_v,notes,truth_mode
0,1787714007,2.0,1.0,0.0,estimate_tracking,0.00045341731166223867,0.00041997738469761,6.462949152351382e-05,-3.343992696462866e-05,-0.07375088269576013,1229.5609222772785,0.0049376478934565786,177.36782846545069,16.294712923670364,390.4356639585693,2.126189006667564,5.017753311958183,0.9900990099009901,0.00032295465584165076,6.223272162278007e-05,,spice
1,587967793,2.0,1.0,0.0,estimate_tracking,0.0007149731224997286,0.0006299158160883763,0.00012552632156178544,-8.505730641135227e-05,-0.11896573973853763,1479.348537930878,0.08946734028895845,455.7179118458652,28.409098688955794,430.5475512970485,1.7339792463826484,5.58394295666227,0.9900990099009901,0.00019186487394059283,0.00014926052750501316,,spice
2,124647997,2.0,1.0,0.0,estimate_tracking,0.0001868279959578399,0.00025262628128891294,9.345925780448993e-05,6.579828533107306e-05,0.3521864321978878,286.51496693894677,0.12675313744830513,73.68893650565578,6.48292182656253,402.6161035340287,1.854083856619126,3.079836304014725,0.9900990099009901,0.00010080623365033962,0.00010723129564498597,,spice
3,1006183897,2.0,1.0,0.0,estimate_tracking,0.0002734150925990119,0.00010221070586013576,0.00029606420355528213,-0.00017120438673887614,-0.6261702128856614,47.5493064092086,0.028260159343722883,472.96617701402806,17.30211906181692,425.97608978277486,1.9817720262843879,15.851206426063314,0.9900990099009901,0.00011099258435142038,0.0001324075179850131,,spice
4,833217825,2.0,1.0,0.0,estimate_tracking,0.0003361236370135219,0.0003911793375305014,0.00013241241955546398,5.5055700516979474e-05,0.1637959799737756,871.8566582120509,0.03965397287062715,363.2109926683155,36.900773313281036,411.4628547190597,2.243685584669411,4.907534795613319,0.9900990099009901,0.00023624860186159688,7.759280778912564e-05,,spice
5,583918653,2.0,1.0,0.0,estimate_tracking,0.00031673538022276875,0.0002383586073803555,8.897529512404271e-05,-7.837677284241326e-05,-0.2474519038172771,110.41145530130623,0.044357778862914206,197.39749799227587,12.533616699555997,369.19558087020306,1.9291581328537983,2.4581418351154762,0.9900990099009901,0.00010164230207778267,0.0002607567423815715,,spice
6,2073595670,2.0,1.0,0.0,estimate_tracking,0.00022604805461385894,0.0002210837980108112,0.00016997158280415516,-4.964256603047745e-06,-0.021961067577103477,440.7191461797655,0.035746603435787824,419.0892902289218,25.175589949361946,412.61618637528994,1.8903821525756968,6.2028415695905075,0.9900990099009901,0.00029971010829583325,9.865657723685426e-05,,spice
7,456488550,2.0,1.0,0.0,estimate_tracking,8.998666590354045e-05,0.00023362626826576698,0.00023258422882708004,0.00014363960236222654,1.596232074163058,625.2061926381759,0.045154693405128926,479.2855415312555,30.527636355881512,371.1356950075533,2.049597087330387,4.241187441618526,0.9900990099009901,0.00015615310265537492,6.963576292879496e-05,,spice
8,362043431,2.0,1.0,0.0,estimate_tracking,6.0985935588995396e-05,0.00014959776184249595,0.00012188429840885172,8.861182625350055e-05,1.4529878962698097,185.84024777210254,0.13895492804090565,156.20254778602992,15.647998314021969,416.2165911896677,2.3411773114553167,3.7788915607802345,0.9900990099009901,8.95343435311567e-05,6.364684356678489e-05,,spice
9,1985178879,2.0,1.0,0.0,estimate_tracking,0.0006710598452216626,0.0005681485734344838,0.00014329043733659472,-0.00010291127178717883,-0.15335632510269703,416.18580493282343,0.06445374150802273,418.22488711509766,24.415852895981136,402.98492211817637,1.6659793586987208,8.77633617108481,0.9900990099009901,0.0002581786126351118,0.00022386778970171625,,spice
10,1697341830,2.0,1.0,0.0,estimate_tracking,0.0005729693222957742,0.0005745246543863327,4.786886508034214e-05,1.5553320905585923e-06,0.0027145119817701957,907.2690153851856,0.13901982428494725,20.44210185501628,8.113698300117147,349.3123167393006,1.9617251294519662,3.266296386597073,0.9900990099009901,0.00017764527061601642,0.00010483345244044702,,spice
11,660423988,2.0,1.0,0.0,estimate_tracking,0.0002503155013367058,0.00021888821847083526,0.00015846542208364616,-3.1427282865870534e-05,-0.1255506858266715,25.2016572825828,0.06523042222757579,101.5009314624774,29.766434305354753,391.29498316531027,2.089800495086644,8.556559660396662,0.9900990099009901,7.137499070704934e-05,0.00019744512078169986,,spice
12,276817226,2.0,1.0,0.0,estimate_tracking,0.00042907658281542203,0.00047549485790134813,0.00014943869374827953,4.64182750859261e-05,0.1081817953833526,355.8748956287816,0.01416006875055308,61.06528040706945,12.478281591953566,398.2474978816699,2.233117653314346,5.859199575498462,0.9900990099009901,9.356486822341973e-05,0.00022914665384730147,,spice
13,1989480244,2.0,1.0,0.0,estimate_tracking,0.0002211909767568441,0.0001962828492894445,6.688765772622346e-05,-2.490812746739959e-05,-0.11260914813347545,145.7598168681576,0.05347613352869946,398.8820513349958,23.984501253961284,403.0367503966315,2.063674309989002,9.351205391686841,0.9900990099009901,1.3547572873247869e-05,0.00014937605218461427,,spice
